date,amount,close,high,low,open,volume
20030630,9930000,37.08,37.40,36.92,37.10,2047
20030701,14290000,38.05,38.10,37.09,37.09,2223
20030702,16232000,38.69,38.82,38.10,38.17,1906
20030703,16839000,39.00,40.60,38.81,40.60,2230
20030704,12491000,39.26,39.26,38.75,39.10,1514
20030707,19461000,41.00,41.00,39.60,39.60,1978
20030708,13945000,41.19,42.00,40.70,42.00,2296
20030709,8849000,41.22,41.30,40.81,41.30,1198
20030710,8603000,40.05,41.20,40.05,41.20,1491
20030711,7019000,39.91,39.97,39.30,39.60,1404
20030714,10771000,40.66,41.00,39.92,39.95,1400
20030715,9432000,40.19,40.86,40.19,40.70,1101
20030716,6798000,40.85,40.98,40.24,40.50,957
20030717,9924000,39.80,40.65,39.80,40.50,1187
20030718,7220000,39.92,39.98,39.55,39.78,1032
20030721,6715000,39.40,40.25,39.40,40.00,993
20030722,9169000,39.98,39.98,39.41,39.41,737
20030723,8148000,40.05,40.50,40.00,40.30,848
20030724,10984000,41.23,41.23,40.20,40.20,1279
20030725,8433000,41.23,41.34,40.85,41.00,931
20030728,6839000,41.58,41.94,41.57,41.90,966
20030729,5680000,41.02,41.54,40.83,41.54,864
20030730,9300000,40.60,41.02,40.55,41.00,869
20030731,5120000,40.87,41.00,40.44,40.66,965
20030801,3703000,41.60,41.60,41.05,41.28,844
20030804,3708000,41.40,41.55,41.21,41.47,344
20030805,4929000,40.50,41.61,40.50,41.50,659
20030806,4646000,40.23,40.30,40.06,40.20,663
20030807,5574000,40.70,40.77,39.97,40.35,736
20030808,4009000,40.18,40.70,40.18,40.70,492
20030811,2619000,40.10,40.18,39.68,39.90,488
20030812,4255000,40.55,40.65,40.34,40.34,429
20030813,12452000,42.45,42.45,41.00,41.00,1640
20030814,11489000,42.30,42.55,42.00,42.29,896
20030815,8705000,42.72,43.50,42.66,42.66,695
20030818,4295000,42.80,43.10,42.52,43.00,494
20030819,6286000,43.00,43.60,42.80,43.50,704
20030820,4201000,43.19,43.28,42.80,42.80,437
20030821,3518000,44.00,44.00,42.80,43.19,630
20030822,6243000,44.04,44.59,43.95,44.00,752
20030825,4937000,44.35,44.39,43.79,44.10,518
20030826,8544000,43.46,44.25,43.40,44.25,871
20030827,6352000,43.62,43.97,43.28,43.28,659
20030828,4754000,43.56,43.95,43.49,43.63,453
20030829,7666000,44.92,44.92,43.60,43.60,786
20030901,6283000,45.15,46.40,44.79,46.40,804
20030902,2163000,45.52,45.52,44.90,45.23,473
20030903,4321000,45.00,45.90,45.00,45.90,693
20030904,3077000,44.51,45.10,44.51,45.10,586
