符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
1	,"1101.TW","台泥","34.4","-1.57","35911","2597.6","上市水泥",水泥,水泥製品,預拌混凝土,電力,汽電共生
2	,"1102.TW","亞泥","41.55","-0.36","3521","1473.6","上市水泥",水泥,預拌混凝土,高爐水泥,電力,汽電共生
3	,"1103.TW","嘉泥","19.3","-0.26","223","152.5","上市水泥",水泥,倉儲/貨櫃場,運輸事業,地產,物業投資發展,旅館、餐飲,飯店
4	,"1104.TW","環泥","28.4","-0.18","596","191.2","上市水泥",水泥,水泥製品,預拌混凝土
5	,"1108.TW","幸福","15","-0.33","196","60.7","上市水泥",水泥,預拌混凝土,高爐水泥
6	,"1109.TW","信大","18.15","0","103","61.9","上市水泥",水泥,預拌混凝土,高爐水泥
7	,"1110.TW","東泥","19","0","126","108.7","上市水泥",水泥,高爐水泥
8	,"1201.TW","味全","19.45","0.52","356","98.4","上市食品",非酒精飲料,乳製品,調味品,食品加工,罐頭,飲料相關
9	,"1203.TW","味王","50.8","-1.36","26","121.9","上市食品",方便麵,非酒精飲料,調味品,食品加工,罐頭,調理食品,飲料相關,資產股
10	,"1210.TW","大成","55.8","-0.89","1550","499.3","上市食品",農林漁牧,飼料,食品加工,大宗物資,肉品加工
11	,"1213.TW","大飲","6.6","0","0","3.7","上市食品",非酒精飲料,飲料相關
12	,"1215.TW","卜蜂","95.8","-0.1","345","282.4","上市食品",農林漁牧,家畜，家禽,飼料,食品加工,肉品加工
13	,"1216.TW","統一","74.3","1.78","19626","4221.7","上市食品",農林漁牧,飼料,方便麵,非酒精飲料,乳製品,調味品,食品加工,大宗物資,麵粉,油脂,肉品加工,穀類烘焙製品,飲料相關
14	,"1217.TW","愛之味","11.8","-0.84","745","58.4","上市食品",非酒精飲料,乳製品,食品加工,罐頭,飲料相關
15	,"1218.TW","泰山","21.8","-0.91","1648","109","上市食品",非酒精飲料,大宗物資,油脂,飲料相關
16	,"1219.TW","福壽","19.4","0","279","64.3","上市食品",農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品
17	,"1220.TW","台榮","14.05","0","192","24.9","上市食品",流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品
18	,"1225.TW","福懋油","54.4","0","9","124.9","上市食品",農林漁牧,飼料,大宗物資,麵粉,油脂
19	,"1227.TW","佳格","39.45","0.25","609","361","上市食品",乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品
